Type,Number,CD,Street Name,Cross Street 1,Cross Street 2,Parking Restrictions,Petition Validation,Parking Study,Date Established,Date Posted,Last Action,Data Entered By,Council File Number
PPD,1,5,Fox Hills Drive,Ilona Avenue,Almayo Avenue,No Parking 8AM - 6PM Except Sat. & Sun.; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,Fox Hills Drive,Almayo Avenue,Alley S of Almayo Avenue,N/A,75%,85%,3/1/2016,-,-,SM,82-0644
PPD,1,5,Ilona Avenue,Fox Hills Drive,Kerwood Avenue,No Parking Anytime; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,06/09/2004,Fill-In,SM,82-0644
PPD,1,5,Ilona Avenue,Kerwood Avenue,Alley E of Beverly Glen Boulevard,No Parking Anytime; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,Ilona Avenue,Alley E of Beverly Glen Boulevard,Beverly Glen Boulevard,N/A,75%,85%,3/1/2016,-,-,SM,82-0644
PPD,1,5,Kerwood Avenue,Fox Hills Drive,Louisiana Avenue,No Parking 8AM - 6PM Except Sat. & Sun.; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,Kerwood Avenue,Louisiana Avenue,Olympic Boulevard,No Parking 8AM - 6PM Except Sat. & Sun.; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,Kerwood Avenue,Olympic Boulevard,Keswick Avenue,No Parking Anytime; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,Kerwood Avenue,Keswick Avenue,Tennessee Avenue,No Parking Anytime; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,Kerwood Avenue,Tennessee Avenue,Ilona Avenue,No Parking Anytime; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,Kerwood Avenue,Ilona Avenue,Almayo Avenue,N/A,75%,85%,3/1/2016,-,-,SM,82-0644
PPD,1,5,Kerwood Avenue,Almayo Avenue,Alley S of Almayo Avenue,No Parking Anytime Except Sat. & Sun.; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,Keswick Avenue,Fox Hills Drive,Orton Avenue,No Parking Anytime; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,Keswick Avenue,Orton Avenue,Kerwood Avenue,No Parking Anytime; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,Keswick Avenue,Kerwood Avenue,Benicia Avenue,No Parking Anytime; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,Keswick Avenue,Benicia Avenue,Beverly Glen Boulevard,No Parking Anytime; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,La Grange Avenue,Fox Hills Drive,Comstock Avenue,No Parking Anytime; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,La Grange Avenue,Comstock Avenue,Benicia Avenue,No Parking Anytime; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/07/2004,Fill-In,SM,82-0644
PPD,1,5,La Grange Avenue,Benicia Avenue,Beverly Glen Boulevard,No Parking 8AM - 6PM Except Sat. & Sun.; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,Lauriston Avenue (N/S),Fox Hills Drive,Calvin Avenue,No Parking Anytime; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,Lauriston Avenue (S/S),Fox Hills Drive,Calvin Avenue,N/A,75%,85%,3/1/2016,-,-,SM,82-0644
PPD,1,5,Lauriston Avenue (N/S),Calvin Avenue,Olympic Boulevard,No Parking Anytime; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,Lauriston Avenue (S/S),Calvin Avenue,Olympic Boulevard,N/A,75%,85%,3/1/2016,-,-,SM,82-0644
PPD,1,5,Louisiana Avenue,Calvin Avenue,Kerwood Avenue,No Parking 8AM - 6PM Except Sat. & Sun.; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,Louisiana Avenue,Kerwood Avenue,Benicia Avenue,No Parking 8AM - 6PM Except Sat. & Sun.; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,Mississippi Avenue,Fox Hills Drive,Cul-De-Sac E of Fox Hills Drive,No Parking Anytime; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,Mississippi Avenue,Fox Hills Drive,Benicia Avenue,No Parking 8AM - 6PM Except Sat. & Sun.; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,Mississippi Avenue,Benicia Avenue,Beverly Glen Boulevard,N/A,75%,85%,3/1/2016,-,-,SM,82-0644
PPD,1,5,Missouri Avenue,Benicia Avenue,Comstock Avenue,No Parking Anytime; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,Missouri Avenue,Comstock Avenue,Fox Hills Drive,No Parking Anytime; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,Missouri Avenue,Fox Hills Drive,Cul-De-Sac E of Fox Hills Drive,No Parking Anytime; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,Olympic Boulevard,Century Park W,Fox Hills Drive,N/A,75%,85%,3/1/2016,-,-,SM,82-0644
PPD,1,5,Olympic Boulevard,Fox Hills Drive,Bellwood Avenue,N/A,75%,85%,3/1/2016,-,-,SM,82-0644
PPD,1,5,Olympic Boulevard,Bellwood Avenue,Lauriston Avenue/Bellwood Avenue,N/A,75%,85%,3/1/2016,-,-,SM,82-0644
PPD,1,5,Olympic Boulevard,Lauriston Avenue/Bellwood Avenue,Kerwood Avenue,N/A,75%,85%,3/1/2016,-,-,SM,82-0644
PPD,1,5,Olympic Boulevard,Kerwood Avenue,Benicia Avenue,N/A,75%,85%,3/1/2016,-,-,SM,82-0644
PPD,1,5,Olympic Boulevard,Benicia Avenue,Beverly Glen Boulevard,N/A,75%,85%,3/1/2016,-,-,SM,82-0644
PPD,1,5,Orton Avenue,Cul-De-Sac E of Fox Hills Drive,Fox Hills Drive,No Parking Anytime; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,Orton Avenue,Fox Hills Drive,Keswick Avenue,No Parking Anytime; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,Tennessee Avenue,Cul-De-Sac E of Fox Hills Drive,Fox Hills Drive,N/A,75%,85%,3/1/2016,-,-,SM,82-0644
PPD,1,5,Tennessee Avenue,Fox Hills Drive,Kerwood Avenue,No Parking 8AM - 6PM Except Sat. & Sun.; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,1,5,Tennessee Avenue,Kerwood Avenue,Beverly Glen Boulevard,No Parking 8AM - 6PM Except Sat. & Sun.; Vehicles with District No. 1 Permits Exempt,75%,85%,3/1/2016,07/01/1981,Establishment,SM,82-0644
PPD,2,4,Alandele Avenue,Olympic Boulevard,W 8th Street,No Parking 8AM - 6PM Except Sat. & Sun.; Vehicles with District No. 2 Permits Exempt,75%,85%,3/1/2016,4/12/1982,Establishment,SM,79-4250
PPD,2,10,Carmona Avenue,San Vicente Boulevard,Masselin Avenue,No Parking Anytime; Vehicles with District No. 2 Permits Exempt,75%,85%,3/1/2016,02/01/2001,Fill-In,SM,79-4250
PPD,2,4,Courtyard Pl,Cul-De-Sac S of Wilshire Boulevard,Wilshire Boulevard,N/A,75%,85%,3/1/2016,-,-,SM,79-4250
PPD,2,10,Curson Avenue,San Vicente Boulevard,Olympic Boulevard,No Parking 8AM - 6PM Except Sat. & Sun.; Vehicles with District No. 2 Permits Exempt,75%,85%,3/1/2016,4/12/1982,Establishment,SM,79-4250
PPD,2,4,Curson Avenue,Olympic Boulevard,W 8th Street,2 Hr. Parking 8AM - 6PM Except Sat. & Sun.; Vehicles with District No. 2 Permits Exempt,75%,85%,3/1/2016,4/12/1982,Establishment,SM,79-4250
PPD,2,4,Curson Avenue,W 8th Street,Wilshire Boulevard,N/A,75%,85%,3/1/2016,-,-,SM,79-4250
PPD,2,10,Genesee Avenue,San Vicente Boulevard,Olympic Boulevard,N/A,75%,85%,3/1/2016,-,-,SM,79-4250
PPD,2,4,Genesee Avenue (E/S),Olympic Boulevard,W 8th Street,N/A,75%,85%,3/1/2016,-,-,SM,79-4250
PPD,2,4,Genesee Avenue (W/S),Olympic Boulevard,W 8th Street,No Parking Anytime; Vehicles with District No. 2 Permits Exempt,75%,85%,3/1/2016,4/12/1982,Establishment,SM,79-4250
PPD,2,4,Genesee Avenue,W 8th Street,Genesee Avenue,"No Parking Anytime; Vehicles with District No. 2 Permits Exempt;  N/W Corner : 15 Minutes Parking 8AM - 6PM, Except Sat. & Sun.",75%,85%,3/1/2016,07/01/2014,Fill-In,SM,79-4250
PPD,2,4,Genesee Avenue,Genesee Avenue,Ogden Drive,N/A,75%,85%,3/1/2016,-,-,SM,79-4250
PPD,2,10,Hauser Boulevard,San Vicente Boulevard,Edgewood Place,N/A,75%,85%,3/1/2016,-,-,SM,79-4250
PPD,2,10,Hauser Boulevard,Edgewood Place,Olympic Boulevard,N/A,75%,85%,3/1/2016,-,-,SM,79-4250
PPD,2,4,Hauser Boulevard,Olympic Boulevard,W 9th Street,N/A,75%,85%,3/1/2016,-,-,SM,79-4250
PPD,2,4,Hauser Boulevard,W 9th Street,W 8th Street,No Parking Anytime; Vehicles with District No. 2 Permits Exempt,75%,85%,3/1/2016,11/21/2007,Fill-In,SM,79-4250
PPD,2,4,Hauser Boulevard,W 8th Street,Wilshire Boulevard,N/A,75%,85%,3/1/2016,-,-,SM,79-4250
PPD,2,10,Masselin Avenue,San Vicente Boulevard,Carmona Avenue,2 Hr. Parking 8AM - 6PM Except Sat. & Sun.; Vehicles with District No. 2 Permits Exempt,75%,85%,3/1/2016,08/20/2001,Fill-In,SM,79-4250
PPD,2,10,Masselin Avenue,Carmona Avenue,Olympic Boulevard,No Parking Anytime; Vehicles with District No. 2 Permits Exempt,75%,85%,3/1/2016,10/04/2001,Fill-In,SM,79-4250
PPD,2,4,Masselin Avenue,Olympic Boulevard,W 8th Street,No Parking Anytime; Vehicles with District No. 2 Permits Exempt,75%,85%,3/1/2016,4/12/1982,Establishment,SM,79-4250
PPD,2,4,Masselin Avenue,W 8th Street,Wilshire Boulevard,N/A,75%,85%,3/1/2016,-,-,SM,79-4250
PPD,2,4,Ogden Drive,Olympic Boulevard,W 8th Street,No Parking Anytime; Vehicles with District No. 2 Permits Exempt,75%,85%,3/1/2016,04/20/2015,Fill-In,SM,79-4250
PPD,2,4,Ogden Drive,W 8th Street,Genesee Avenue,2 Hr. Parking 8AM - 6PM Except Sat. & Sun.; Vehicles with District No. 2 Permits Exempt,75%,85%,3/1/2016,4/12/1982,Establishment,SM,79-4250
PPD,2,4,Ogden Drive,Genesee Avenue,Wilshire Boulevard,N/A,75%,85%,3/1/2016,-,-,SM,79-4250
PPD,2,4 & 10,Olympic Boulevard,Ogden Drive,San Vicente Boulevard,N/A,75%,85%,3/1/2016,-,-,SM,79-4250
PPD,2,4 & 10,Olympic Boulevard,Genesee Avenue,Ogden Drive,N/A,75%,85%,3/1/2016,-,-,SM,79-4250
PPD,2,4 & 10,Olympic Boulevard,Spaulding Avenue,Genesee Avenue,N/A,75%,85%,3/1/2016,-,-,SM,79-4250
PPD,2,4 & 10,Olympic Boulevard,Alandele Avenue,Spaulding Avenue,N/A,75%,85%,3/1/2016,-,-,SM,79-4250
PPD,2,4 & 10,Olympic Boulevard,Stanley Avenue,Alandele Avenue,N/A,75%,85%,3/1/2016,-,-,SM,79-4250
PPD,2,4 & 10,Olympic Boulevard,Curson Avenue,Stanley Avenue,N/A,75%,85%,3/1/2016,-,-,SM,79-4250
PPD,2,4 & 10,Olympic Boulevard,Sierra Bonita Avenue,Curson Avenue,N/A,75%,85%,3/1/2016,-,-,SM,79-4250
PPD,2,4 & 10,Olympic Boulevard,Masselin Avenue,Sierra Bonita Avenue,N/A,75%,85%,3/1/2016,-,-,SM,79-4250
PPD,2,4 & 10,Olympic Boulevard,Hauser Boulevard,Masselin Avenue,N/A,75%,85%,3/1/2016,-,-,SM,79-4250
PPD,2,4,Orange Grove Avenue,San Vicente Boulevard,Alley N of San Vicente Boulevard,N/A,75%,85%,3/1/2016,-,-,SM,79-4250
PPD,2,4,Orange Grove Avenue,Alley N of San Vicente Boulevard,W 8th Street,No Parking Anytime; Vehicles with District No. 2 Permits Exempt,75%,85%,3/1/2016,4/12/1982,Establishment,SM,79-4250
PPD,2,4,Orange Grove Avenue (E/S),W 8th Street,Wilshire Boulevard,No Parking Anytime; Vehicles with District No. 2 Permits Exempt,75%,85%,3/1/2016,4/12/1982,Establishment,SM,79-4250
PPD,2,4,Orange Grove Avenue (W/S),W 8th Street,Wilshire Boulevard,N/A,75%,85%,3/1/2016,-,-,SM,79-4250
PPD,2,10,San Vicente Boulevard,Hauser Boulevard,Carmona Avenue,N/A,75%,85%,3/1/2016,-,-,SM,79-4250
PPD,2,10,San Vicente Boulevard (N/S),Carmona Avenue,Masselin Avenue,No Parking Anytime; Vehicles with District No. 2 Permits Exempt,75%,85%,3/1/2016,4/12/1982,Establishment,SM,79-4250
PPD,2,10,San Vicente Boulevard (N/S),Masselin Avenue,Sierra Bonita Avenue,No Parking Anytime; Vehicles with District No. 2 Permits Exempt,75%,85%,3/1/2016,08/20/2001,Fill-In,SM,79-4250
PPD,2,10,San Vicente Boulevard,Sierra Bonita Avenue,Curson Avenue,N/A,75%,85%,3/1/2016,-,-,SM,79-4250
PPD,2,10,San Vicente Boulevard,Curson Avenue,Stanley Avenue,N/A,75%,85%,3/1/2016,-,-,SM,79-4250
PPD,2,10,San Vicente Boulevard,Stanley Avenue,Genesee Avenue,N/A,75%,85%,3/1/2016,-,-,SM,79-4250
PPD,2,10,San Vicente Boulevard,Genesee Avenue,Olympic Boulevard,N/A,75%,85%,3/1/2016,-,-,SM,79-4250
PPD,2,4,San Vicente Boulevard,Olympic Boulevard,Orange Grove Avenue,N/A,75%,85%,3/1/2016,-,-,SM,79-4250
PPD,2,4,San Vicente Boulevard,Orange Grove Avenue,Fairfax Avenue,N/A,75%,85%,3/1/2016,-,-,SM,79-4250
PPD,2,10,Sierra Bonita Avenue,San Vicente Boulevard,Olympic Boulevard,2 Hr. Parking 8AM - 6PM Except Sat. & Sun.; Vehicles with District No. 2 Permits Exempt,75%,85%,3/1/2016,4/12/1982,Establishment,SM,79-4250
PPD,2,4,Sierra Bonita Avenue,Olympic Boulevard,W 8th Street,No Parking 8AM - 6PM Except Sat. & Sun.; Vehicles with District No. 2 Permits Exempt,75%,85%,3/1/2016,4/12/1982,Establishment,SM,79-4250
PPD,2,4,Spaulding Avenue,Olympic Boulevard,W 8th Street,No Parking Anytime; Vehicles with District No. 2 Permits Exempt,75%,85%,3/1/2016,07/05/2017,Fill-In,SM,79-4250
PPD,2,4,Spaulding Avenue,W 8th Street,Wilshire Boulevard,N/A,75%,85%,3/1/2016,-,-,SM,79-4250
PPD,2,10,Stanley Avenue,San Vicente Boulevard,Olympic Boulevard,No Parking Anytime; Vehicles with District No. 2 Permits Exempt,75%,85%,3/1/2016,4/12/1982,Establishment,SM,79-4250
PPD,2,4,Stanley Avenue,Olympic Boulevard,W 8th Street,No Parking 8AM - 6PM Except Sat. & Sun.; Vehicles with District No. 2 Permits Exempt,75%,85%,3/1/2016,4/12/1982,Establishment,SM,79-4250
PPD,2,4,Stanley Avenue,W 8th Street,Wilshire Boulevard,N/A,75%,85%,3/1/2016,-,-,SM,79-4250
PPD,2,4,West 8th Street,Hauser Boulevard,Masselin Avenue,N/A,75%,85%,3/1/2016,-,-,SM,79-4250
PPD,2,4,West 8th Street,Masselin Avenue,Curson Avenue,N/A,75%,85%,3/1/2016,-,-,SM,79-4250
PPD,2,4,West 8th Street,Curson Avenue,Stanley Avenue,N/A,75%,85%,3/1/2016,-,-,SM,79-4250
PPD,2,4,West 8th Street,Stanley Avenue,Alandele Avenue,N/A,75%,85%,3/1/2016,-,-,SM,79-4250
PPD,2,4,West 8th Street,Alandele Avenue,Spaulding Avenue,N/A,75%,85%,3/1/2016,-,-,SM,79-4250
PPD,2,4,West 8th Street,Spaulding Avenue,Genesee Avenue,N/A,75%,85%,3/1/2016,-,-,SM,79-4250
PPD,2,4,West 8th Street,Genesee Avenue,Ogden Drive,No Parking Anytime; Vehicles with District No. 2 Permits Exempt,75%,85%,3/1/2016,03/08/2016,Fill-In,SM,79-4250
PPD,2,4,West 8th Street,Ogden Drive,Orange Grove Avenue,No Parking 8AM - 6PM Except Sat. & Sun.; Vehicles with District No. 2 Permits Exempt,75%,85%,3/1/2016,4/12/1982,Establishment,SM,79-4250
PPD,2,4,West 8th Street,Orange Grove Avenue,Fairfax Avenue,N/A,75%,85%,3/1/2016,-,-,SM,79-4250
PPD,3,12,Cantara Street,Garden Grove Avenue,Wynne Avenue,N/A,75%,85%,3/1/2016,-,-,SM,81-5863
PPD,3,12,Cantara Street,Wynne Avenue,Nestle Avenue,No Parking 8AM - 6PM Mon. - Fri.; Vehicles with District No. 3 Permits Exempt,75%,85%,3/1/2016,06/13/1982,Establishment,SM,81-5863
PPD,3,12,Cantara Street,Nestle Avenue,Etiwanda Avenue,No Parking 8AM - 6PM Mon. - Fri.; Vehicles with District No. 3 Permits Exempt,75%,85%,3/1/2016,06/13/1982,Establishment,SM,81-5863
PPD,3,12,Cantara Street (N/S),Etiwanda Avenue,Darby Place,N/A,75%,85%,3/1/2016,-,-,SM,81-5863
PPD,3,12,Cantara Street (S/S),Etiwanda Avenue,Darby Place,No Parking 8AM - 6PM Mon. - Fri.; Vehicles with District No. 3 Permits Exempt,75%,85%,3/1/2016,06/13/1982,Establishment,SM,81-5863
PPD,3,12,Cantara Street (N/S),Darby Place,Darby Avenue,N/A,75%,85%,3/1/2016,-,-,SM,81-5863
PPD,3,12,Cantara Street (S/S),Darby Place,Darby Avenue,No Parking 8AM - 6PM Mon. - Fri.; Vehicles with District No. 3 Permits Exempt,75%,85%,3/1/2016,06/13/1982,Establishment,SM,81-5863
PPD,3,12,Darby Avenue,Lorne Street,Cantara Street,No Parking 8AM - 6PM Mon. - Fri.; Vehicles with District No. 3 Permits Exempt,75%,85%,3/1/2016,06/13/1982,Establishment,SM,81-5863
PPD,3,12,Darby Place,Lorne Street,Cantara Street,No Parking 8AM - 6PM Mon. - Fri.; Vehicles with District No. 3 Permits Exempt,75%,85%,3/1/2016,06/13/1982,Establishment,SM,81-5863
PPD,3,12,Etiwanda Avenue,Lorne Street,Cantara Street,No Parking 8AM - 6PM Mon. - Fri.; Vehicles with District No. 3 Permits Exempt (Posted on Residential Portion),75%,85%,3/1/2016,06/13/1982,Establishment,SM,81-5863
PPD,3,12,Etiwanda Avenue,Cantara Street,Roscoe Boulevard,N/A,75%,85%,3/1/2016,-,-,SM,81-5863
PPD,3,12,Garden Grove Avenue,Cantara Street,Cul-De-Sac N of Cantara Street,N/A,75%,85%,3/1/2016,-,-,SM,81-5863
PPD,3,12,Nestle Avenue,Lorne Street,Cantara Street,No Parking 8AM - 6PM Mon. - Fri.; Vehicles with District No. 3 Permits Exempt (Posted on Residential Portion),75%,85%,3/1/2016,06/13/1982,Establishment,SM,81-5863
PPD,3,12,Nestle Avenue,Cantara Street,Cul-De-Sac N of Cantara Street,No Parking 8AM - 6PM Mon. - Fri.; Vehicles with District No. 3 Permits Exempt,75%,85%,3/1/2016,06/13/1982,Establishment,SM,81-5863
PPD,3,12,Wynne Avenue,Nestle Avenue,Cantara Street,N/A,75%,85%,3/1/2016,-,-,SM,81-5863
